Distance host 0(m),Distance host 1(m),Distance host 2(m),Distance host 3(m),Distance host 4(m),Distance host 5(m),Distance host 6(m),Distance host 7(m),Distance host 8(m),Likelihood position X (m),Likelihood position Y (m),Real position X (m),Real position Y (m)
10.5163,14.1063,12.6472,8.98808,10.015,8.43751,5.53852,8.32089,9.44556,104.633,108.373,104.243,108.177,
9.75944,8.18898,12.2831,13.7849,8.63507,10.1234,5.18701,8.10069,9.15566,104.255,108.128,103.997,107.998,
4.96261,8.03684,9.47704,7.8772,11.9508,8.33483,9.83529,13.4937,8.90983,103.948,107.853,103.78,107.83,
7.67304,7.90388,8.75004,9.61989,4.6291,11.6589,9.19209,8.04508,13.2474,103.663,107.654,103.54,107.633,
7.75368,7.374,4.34714,9.32999,8.4456,7.77347,8.91328,11.3065,12.9813,103.385,107.449,103.291,107.415,
7.59974,11.0898,9.06452,4.02172,12.773,7.02953,8.64032,7.4437,8.12438,103.314,107.331,103.079,107.218,
12.5755,8.80221,7.93865,3.70454,10.7296,6.73739,7.39738,8.34113,7.10643,102.974,107.305,102.809,106.95,
12.2551,6.89028,8.44156,6.45003,3.34448,7.24389,7.57486,8.04658,10.3252,102.661,106.938,102.63,106.759,
7.40337,3.11604,11.9947,6.59753,6.18247,8.14521,10.0778,7.09339,7.76852,102.593,106.637,102.417,106.519,
7.59749,6.98921,7.88079,2.78147,6.27331,5.87338,11.6675,7.02099,9.71043,102.238,106.429,102.211,106.272,
9.53355,7.60034,5.62141,2.49068,6.82762,7.23429,11.3705,5.90366,6.71565,102.263,106.136,102.003,106.004,
7.27866,6.98936,11.1299,2.17409,5.62845,5.25851,6.46008,6.65329,9.08686,101.867,105.966,101.841,105.783,
7.02863,1.97159,6.27316,6.72749,5.02782,6.55151,10.848,8.84777,5.31862,101.744,105.738,101.693,105.567,
5.15748,6.5028,6.74188,1.72995,10.6169,4.74991,6.42425,5.95778,8.50601,101.483,105.489,101.463,105.208,
10.2866,5.65469,1.4432,6.26686,4.37007,8.20157,4.64783,6.02628,6.24108,101.361,105.132,101.315,104.957,
6.0651,5.83546,4.41489,9.97469,1.27921,7.93641,4.06234,6.12551,5.29838,101.313,104.881,101.182,104.716,
4.15602,9.73351,5.55755,5.09992,5.73368,6.02508,3.79163,7.65025,1.19452,101.114,104.642,101.047,104.454,
4.86773,1.18358,3.83719,5.92465,5.44648,9.40959,3.51327,7.38344,5.19945,100.988,104.323,100.912,104.172,
5.20455,5.82617,3.27898,4.55759,4.9776,3.49963,7.14256,9.10215,1.28446,100.854,104.086,100.804,103.928,
